t_star	a	k	B	p	c	sigma_tau	r0
33	0.5	0.004	1.6	0.8	10	25	0.7678223968594794
33	0.5	0.006	1.6	0.8	10	25	0.7673836520287795
33	1	0.004	1.6	0.8	10	25	0.7663700763744246
33	0.5	0.004	1.6	0.8	10	20	0.765724973
33	0.5	0.004	1.6	1	10	20	0.7652931751098657
33	1	0.006	1.6	0.8	10	25	0.7651137177780466
33	0.5	0.006	1.6	0.8	10	20	0.764902203
33	1	0.004	1.6	1	10	25	0.7647128562428265
33	0.5	0.006	1.6	1	10	20	0.7645001510243298
33	0.5	0.02	1.6	0.8	10	25	0.7643166123671042
33	0.5	0.004	1.6	1.2	10	20	0.7637341734900315
33	0.5	0.004	0.8	0.8	10	20	0.7636949006149889
33	1	0.006	1.6	1	10	25	0.7635093654425479
33	1	0.004	0.8	0.8	10	25	0.763200915
33	0.5	0.006	1.6	1.2	10	20	0.7629611778422131
33	0.5	0.006	0.8	0.8	10	20	0.7629054730777004
33	1	0.004	1.6	1.2	10	25	0.7627678719580259
33	0.5	0.004	0.8	1	10	20	0.7627138643111073
33	1	0.004	1.6	0.8	25	25	0.7620514057768615
33	0.5	0.004	1.6	1	10	25	0.7620050668948064
33	1	0.006	0.8	0.8	10	25	0.7620015041804853
33	0.5	0.004	1.6	0.8	25	20	0.7619711935111512
33	0.5	0.006	0.8	1	10	20	0.7619429729329086
33	1	0.004	0.8	1	10	25	0.7618273908125931
33	0.5	0.004	0.8	1.2	10	20	0.761654029
33	0.5	0.006	1.6	1	10	25	0.7616079175839333
33	1	0.006	1.6	1.2	10	25	0.7615952632032764
33	0.5	0.004	1.6	1	25	20	0.7615241245427612
33	0.5	0.006	1.6	0.8	25	20	0.7611722776233086
33	0.5	0.004	0.8	0.8	25	20	0.7610375298857743
33	0.5	0.006	0.8	1.2	10	20	0.7608938890496123
33	1	0.004	1.6	1	25	25	0.7608839904124136
33	1	0.006	1.6	0.8	25	25	0.7608329954955177
33	2	0.004	1.6	0.8	10	40	0.760751265
33	0.5	0.006	1.6	1	25	20	0.7607497925352806
33	0.5	0.004	1.6	1.2	25	20	0.7607336188529283
33	1	0.004	0.8	1.2	10	25	0.760663738
33	1	0.006	0.8	1	10	25	0.7606571186128762
33	3	0.004	1.6	0.8	10	40	0.7605097090282082
33	0.5	0.004	0.8	1	25	20	0.7605077594954406
33	1	0.004	0.8	0.8	25	25	0.7604902630107047
33	0.5	0.006	0.8	0.8	25	20	0.7602622775157704
33	0.5	0.004	0.8	1.2	25	20	0.7600310055918498
33	0.5	0.006	1.6	1.2	25	20	0.7599730975042581
33	1	0.004	1.6	1.2	25	25	0.759877569
33	0.5	0.004	0.8	0.8	10	25	0.7598532604452564
33	0.5	0.006	0.8	1	25	20	0.7597467170076415
33	1	0.006	1.6	1	25	25	0.7597069587239632
33	1	0.004	0.8	1	25	25	0.7596948502378359
33	0.5	0.004	1.6	0.8	25	25	0.7596892892593119
33	2	0.006	1.6	0.8	10	40	0.7596779584634504
33	3	0.004	1.6	1	10	40	0.7595987757022463
33	1	0.006	0.8	1.2	10	25	0.7595093148059842
33	0.5	0.006	0.8	0.8	10	25	0.7594544754899305
33	0.5	0.02	1.6	0.8	10	20	0.7593482848558641
33	1	0.006	0.8	0.8	25	25	0.759311179
33	0.5	0.006	0.8	1.2	25	20	0.7592772101718367
33	0.5	0.004	0	0.8	10	20	0.7592713437078777
33	0.5	0.004	0	1	10	20	0.7592713437078777
33	0.5	0.004	0	0.8	25	20	0.7592713437078777
33	0.5	0.004	0	1.2	25	20	0.7592713437078777
33	0.5	0.004	0	1.2	10	20	0.7592713437078777
