Start,End,Mid,Daniel_weight_max
-2000,-1975,-1987.5,0.0
-1975,-1950,-1962.5,0.0
-1950,-1925,-1937.5,0.0
-1925,-1900,-1912.5,0.0
-1900,-1875,-1887.5,0.0
-1875,-1850,-1862.5,0.0
-1850,-1825,-1837.5,0.0
-1825,-1800,-1812.5,0.0
-1800,-1775,-1787.5,0.0
-1775,-1750,-1762.5,0.0
-1750,-1725,-1737.5,0.0
-1725,-1700,-1712.5,0.0
-1700,-1675,-1687.5,0.0
-1675,-1650,-1662.5,0.0
-1650,-1625,-1637.5,0.0
-1625,-1600,-1612.5,0.0
-1600,-1575,-1587.5,0.0
-1575,-1550,-1562.5,0.0
-1550,-1525,-1537.5,0.0
-1525,-1500,-1512.5,0.0
-1500,-1475,-1487.5,0.0
-1475,-1450,-1462.5,0.0
-1450,-1425,-1437.5,0.0
-1425,-1400,-1412.5,0.0
-1400,-1375,-1387.5,0.0
-1375,-1350,-1362.5,0.0
-1350,-1325,-1337.5,0.0
-1325,-1300,-1312.5,0.0
-1300,-1275,-1287.5,0.0
-1275,-1250,-1262.5,0.0
-1250,-1225,-1237.5,0.0
-1225,-1200,-1212.5,0.0
-1200,-1175,-1187.5,0.0
-1175,-1150,-1162.5,0.0
-1150,-1125,-1137.5,0.0
-1125,-1100,-1112.5,0.0
-1100,-1075,-1087.5,0.0
-1075,-1050,-1062.5,0.0
-1050,-1025,-1037.5,0.0
-1025,-1000,-1012.5,0.0
-1000,-975,-987.5,0.0
-975,-950,-962.5,0.0
-950,-925,-937.5,0.0
-925,-900,-912.5,0.0
-900,-875,-887.5,0.0
-875,-850,-862.5,0.0
-850,-825,-837.5,0.0
-825,-800,-812.5,0.0
-800,-775,-787.5,0.0
-775,-750,-762.5,0.0
-750,-725,-737.5,0.0
-725,-700,-712.5,0.0
-700,-675,-687.5,0.0
-675,-650,-662.5,0.0
-650,-625,-637.5,0.0
-625,-600,-612.5,0.0
-600,-575,-587.5,0.0
-575,-550,-562.5,0.0
-550,-525,-537.5,0.0
-525,-500,-512.5,0.0
-500,-475,-487.5,0.0
-475,-450,-462.5,1.0
-450,-425,-437.5,1.0
-425,-400,-412.5,1.0
-400,-375,-387.5,1.0
-375,-350,-362.5,1.0
-350,-325,-337.5,1.0
-325,-300,-312.5,1.0
-300,-275,-287.5,1.0
-275,-250,-262.5,1.0
-250,-225,-237.5,1.0
-225,-200,-212.5,1.0
-200,-175,-187.5,1.0
-175,-150,-162.5,1.0
-150,-125,-137.5,1.0
-125,-100,-112.5,1.0
-100,-75,-87.5,1.0
-75,-50,-62.5,1.0
-50,-25,-37.5,1.0
-25,0,-12.5,1.0
0,25,12.5,1.0
25,50,37.5,1.0
50,75,62.5,0.5
75,100,87.5,0.5
100,125,112.5,0.5
