









"event,year,description"
"Greek Event 1,-776,Olympic Games begin"
"Greek Event 2,-753,Rome founded (Hellenistic influence)"
"Greek Event 3,-594,Solon reforms Athens"
"Greek Event 4,-490,Battle of Marathon"
"Greek Event 5,-480,Battle of Thermopylae"
"Greek Event 6,-480,Battle of Salamis"
"Greek Event 7,-479,Battle of Plataea"
"Greek Event 8,-462,Ephialtes reforms"
"Greek Event 9,-431,Peloponnesian War begins"
"Greek Event 10,-415,Sicilian Expedition"
"Greek Event 11,-404,Sparta defeats Athens"
"Greek Event 12,-395,Corinthian War"
"Greek Event 13,-371,Battle of Leuctra"
"Greek Event 14,-362,Battle of Mantinea"
"Greek Event 15,-359,Philip II becomes king"
"Greek Event 16,-338,Battle of Chaeronea"
"Greek Event 17,-336,Alexander becomes king"
"Greek Event 18,-334,Battle of Granicus"
"Greek Event 19,-333,Battle of Issus"
"Greek Event 20,-331,Battle of Gaugamela"
"Greek Event 21,323,Death of Alexander"
"Greek Event 22,321,Battle of Ipsus"
"Greek Event 23,301,Battle of Ipsus settlement"
"Greek Event 24,281,Battle of Corupedium"
"Greek Event 25,277,Galatian invasion"
"Greek Event 26,272,Pyrrhus defeated"
"Greek Event 27,260,Battle of Myonnesus"
"Greek Event 28,241,End of First Syrian War"
"Greek Event 29,223,Battle of Sellasia"
"Greek Event 30,218,Second Punic War begins"
"Greek Event 31,197,Battle of Cynoscephalae"
"Greek Event 32,192,Syrian War begins"
"Greek Event 33,190,Battle of Magnesia"
"Greek Event 34,168,Battle of Pydna"
"Greek Event 35,148,Corinth destroyed"
"Greek Event 36,146,Achaean League defeated"
"Greek Event 37,133,Pergamon bequeathed to Rome"
"Greek Event 38,88,Mithridatic War begins"
"Greek Event 39,86,Sack of Athens"
"Greek Event 40,66,Pontic War ends"
"Greek Event 41,48,Battle of Pharsalus"
"Greek Event 42,42,Second Triumvirate"
"Greek Event 43,31,Battle of Actium"
"Greek Event 44,27,Augustus becomes emperor"
"Greek Event 45,9,Battle of Teutoburg Forest"
"Greek Event 46,43,Claudian invasion of Britain"
"Greek Event 47,60,Boudiccan revolt"
"Greek Event 48,69,Year of Four Emperors"
"Greek Event 49,70,Batavian revolt ends"
"Greek Event 50,79,Mount Vesuvius erupts"
"Greek Event 51,-600,Thales predicts eclipse"
"Greek Event 52,-585,Persian eclipse battle"
"Greek Event 53,-560,Periander dies"
"Greek Event 54,-546,Croesus defeated"
"Greek Event 55,-499,Ionian Revolt begins"
"Greek Event 56,-494,Plebeian secession"
"Greek Event 57,-447,Parthenon construction"
"Greek Event 58,-432,Plague of Athens"
"Greek Event 59,-411,Oligarchy of 400"
"Greek Event 60,-399,Socrates executed"
"Greek Event 61,-387,Plato founds Academy"
"Greek Event 62,-356,Birth of Alexander"
"Greek Event 63,-343,Aristotle tutors Alexander"
"Greek Event 64,307,Antigonus proclaimed king"
"Greek Event 65,306,Ptolemy declares kingship"
"Greek Event 66,305,Seleucus takes Babylon"
"Greek Event 67,304,Antipater dies"
"Greek Event 68,298,Demetrius marries"
"Greek Event 69,287,Archimedes born"
"Greek Event 70,287,Library of Alexandria founded"
"Greek Event 71,280,Pyrrhus invades Italy"
"Greek Event 72,275,Pyrrhus defeated at Argos"
"Greek Event 73,267,Chremonidean War"
"Greek Event 74,261,Battle of Corupedium"
"Greek Event 75,255,Battle of Ecnomus"
"Greek Event 76,241,First Punic War ends"
"Greek Event 77,237,Hasdrubal becomes ruler"
"Greek Event 78,229,First Illyrian War"
"Greek Event 79,219,Second Punic War begins"
"Greek Event 80,216,Battle of Cannae"
"Greek Event 81,202,Battle of Zama"
"Greek Event 82,192,Syrian War begins"
"Greek Event 83,188,Peace of Apamea"
"Greek Event 84,171,Third Macedonian War"
"Greek Event 85,148,Fourth Macedonian War"
"Greek Event 86,133,Revolt of Aristonicus"
"Greek Event 87,120,Jugurthine War begins"
"Greek Event 88,107,Battle of Muthul"
"Greek Event 89,101,Battle of Aquae Sextiae"
"Greek Event 90,100,Marius elected consul"
"Greek Event 91,88,Mithridatic Wars begin"
"Greek Event 92,83,Sulla dictator"
"Greek Event 93,73,Spartacus revolt"
"Greek Event 94,67,Pompey clears Mediterranean"
"Greek Event 95,64,Pompey annexes Syria"
"Greek Event 96,58,Clodius tribune"
"Greek Event 97,53,Carrhae disaster"
"Greek Event 98,49,Civil War begins"
"Greek Event 99,44,Assassination of Caesar"
"Greek Event 100,43,Second Triumvirate"
"Greek Event 101,-700,Lycurgus reforms"
"Greek Event 102,-669,First Messenian War ends"
"Greek Event 103,-650,Lydian alliance"
"Greek Event 104,-630,Founding of Cyrene"
"Greek Event 105,-621,Draco's laws"
"Greek Event 106,-610,Phrygian dynasty ends"
"Greek Event 107,-594,Athenian constitution"
"Greek Event 108,-546,Sardis falls"
"Greek Event 109,-525,Cambyses conquers Egypt"
"Greek Event 110,-492,First Persian invasion"
"Greek Event 111,-464,Great Earthquake"
"Greek Event 112,-447,Long Walls built"
"Greek Event 113,-432,Parthenon completed"
"Greek Event 114,-404,Thirty Tyrants"
"Greek Event 115,-395,Theban hegemony"
"Greek Event 116,-359,Macedonian rise"
"Greek Event 117,-336,Theater of Dionysus"
"Greek Event 118,-323,Partition of Babylon"
"Greek Event 119,312,Antioch founded"
"Greek Event 120,301,Seleucid Empire"
"Greek Event 121,285,Ptolemy II succeeds"
"Greek Event 122,267,Chremonidean War"
"Greek Event 123,241,First Syrian War ends"
"Greek Event 124,221,Qin unification (influence)"
"Greek Event 125,219,Antiochus III campaigns"
"Greek Event 126,197,Roman victory Cynoscephalae"
"Greek Event 127,168,Day of Eleusis"
"Greek Event 128,146,Achaean War ends"
"Greek Event 129,133,Gracchi reforms"
"Greek Event 130,102,Battle of Aquae Sextiae"
"Greek Event 131,91,Social War begins"
"Greek Event 132,82,Sulla captures Rome"
"Greek Event 133,73,Third Mithridatic War"
"Greek Event 134,66,Pompey in East"
"Greek Event 135,58,First Triumvirate strains"
"Greek Event 136,53,Parthian disaster"
"Greek Event 137,49,Rubicon crossed"
"Greek Event 138,44,Ides of March"
"Greek Event 139,36,Antony Parthian campaign"
"Greek Event 140,31,Actium victory"
