t_star,a,k,tail_B,tail_p,sigma,r0,p
25.0,0.3,0.02,0.0,0.7,15.0,0.7624466959140871,0.014985014985014986
35.0,0.6,0.04,0.0,1.3,15.0,0.7715652740520746,0.014985014985014986
30.0,0.6,0.02,0.0,1.0,15.0,0.770695449750671,0.014985014985014986
25.0,0.3,0.08,0.5,1.3,15.0,0.7685952852802134,0.014985014985014986
30.0,0.3,0.02,0.0,0.7,15.0,0.7630827474610747,0.014985014985014986
25.0,0.3,0.08,0.5,1.0,15.0,0.7687068126133974,0.014985014985014986
30.0,0.6,0.02,0.0,0.7,15.0,0.770695449750671,0.014985014985014986
30.0,0.3,0.02,0.0,1.0,15.0,0.7630827474610747,0.014985014985014986
25.0,0.3,0.08,0.5,0.7,15.0,0.7699125093331624,0.014985014985014986
35.0,0.3,0.02,0.5,1.0,15.0,0.7667336420787766,0.014985014985014986
25.0,0.3,0.08,0.2,1.3,15.0,0.7683803713076159,0.014985014985014986
35.0,0.3,0.02,0.5,1.3,15.0,0.7653558288277729,0.014985014985014986
30.0,0.3,0.02,0.0,1.3,15.0,0.7630827474610747,0.014985014985014986
25.0,0.3,0.08,0.2,1.0,15.0,0.7685004954484697,0.014985014985014986
35.0,0.3,0.02,0.5,0.7,15.0,0.7723608265106868,0.014985014985014986
30.0,0.3,0.02,0.2,0.7,15.0,0.762963276429851,0.014985014985014986
25.0,0.3,0.08,0.2,0.7,15.0,0.7684361777660241,0.014985014985014986
25.0,0.3,0.08,0.0,1.3,15.0,0.7681969517311925,0.014985014985014986
35.0,0.6,0.08,0.0,1.0,15.0,0.7736097026290482,0.014985014985014986
30.0,0.3,0.08,0.5,1.0,15.0,0.7688716390149971,0.014985014985014986
25.0,0.3,0.08,0.0,1.0,15.0,0.7681969517311925,0.014985014985014986
35.0,0.6,0.08,0.0,1.3,15.0,0.7736097026290482,0.014985014985014986
30.0,0.3,0.02,0.2,1.0,15.0,0.7633320555279001,0.014985014985014986
30.0,0.3,0.08,0.5,1.3,15.0,0.7681664416690045,0.014985014985014986
25.0,0.3,0.08,0.0,0.7,15.0,0.7681969517311925,0.014985014985014986
35.0,0.6,0.04,0.0,1.0,15.0,0.7715652740520746,0.014985014985014986
35.0,0.6,0.04,0.0,0.7,15.0,0.7715652740520746,0.014985014985014986
35.0,0.3,0.08,0.0,1.0,15.0,0.7617486730552395,0.014985014985014986
35.0,0.3,0.04,0.5,1.3,15.0,0.7663746327845047,0.014985014985014986
35.0,0.3,0.08,0.0,1.3,15.0,0.7617486730552395,0.014985014985014986
35.0,0.3,0.04,0.5,1.0,15.0,0.7694405084547684,0.014985014985014986
35.0,0.3,0.08,0.2,0.7,15.0,0.7686896767332385,0.014985014985014986
35.0,0.3,0.04,0.5,0.7,15.0,0.7712797108473504,0.014985014985014986
35.0,0.3,0.08,0.2,1.0,15.0,0.7676943150229413,0.014985014985014986
35.0,0.3,0.08,0.2,1.3,15.0,0.7657631254790923,0.014985014985014986
35.0,0.3,0.04,0.2,1.3,15.0,0.7624065710520651,0.014985014985014986
35.0,0.3,0.08,0.5,0.7,15.0,0.7740071630170141,0.014985014985014986
30.0,0.6,0.02,0.0,1.3,15.0,0.770695449750671,0.014985014985014986
35.0,0.3,0.04,0.2,1.0,15.0,0.763261787485419,0.014985014985014986
35.0,0.3,0.08,0.5,1.3,15.0,0.7693805757513472,0.014985014985014986
35.0,0.3,0.04,0.2,0.7,15.0,0.7660251508858605,0.014985014985014986
35.0,0.6,0.02,0.0,0.7,15.0,0.7704419836694757,0.014985014985014986
35.0,0.6,0.02,0.0,1.0,15.0,0.7704419836694757,0.014985014985014986
35.0,0.3,0.04,0.0,1.3,15.0,0.7606428269828968,0.014985014985014986
35.0,0.6,0.02,0.0,1.3,15.0,0.7704419836694757,0.014985014985014986
30.0,0.3,0.04,0.5,1.0,15.0,0.765598553804042,0.014985014985014986
35.0,0.3,0.04,0.0,1.0,15.0,0.7606428269828968,0.014985014985014986
35.0,0.3,0.02,0.0,0.7,15.0,0.7624316358800617,0.014985014985014986
35.0,0.3,0.04,0.0,0.7,15.0,0.7606428269828968,0.014985014985014986
35.0,0.3,0.08,0.5,1.0,15.0,0.7701428181828991,0.014985014985014986
35.0,0.3,0.02,0.2,1.3,15.0,0.7645082111624905,0.014985014985014986
35.0,0.6,0.08,0.0,0.7,15.0,0.7736097026290482,0.014985014985014986
30.0,0.3,0.02,0.2,1.3,15.0,0.7633306585211755,0.014985014985014986
30.0,0.3,0.08,0.2,0.7,15.0,0.7683849770174569,0.014985014985014986
25.0,0.3,0.04,0.0,0.7,15.0,0.7621601860013661,0.014985014985014986
30.0,0.3,0.04,0.0,1.0,15.0,0.7614777202366593,0.014985014985014986
25.0,0.3,0.02,0.5,1.3,15.0,0.7626266665484267,0.014985014985014986
30.0,0.3,0.04,0.0,1.3,15.0,0.7614777202366593,0.014985014985014986
25.0,0.3,0.04,0.5,1.3,15.0,0.7635925734055717,0.014985014985014986
30.0,0.3,0.08,0.0,1.3,15.0,0.7658354784872505,0.014985014985014986
35.0,0.3,0.02,0.0,1.3,15.0,0.7624316358800617,0.014985014985014986
25.0,0.3,0.02,0.5,0.7,15.0,0.7659418576585142,0.014985014985014986
30.0,0.3,0.04,0.2,0.7,15.0,0.7648078604026854,0.014985014985014986
35.0,0.3,0.02,0.2,0.7,15.0,0.7642362444164404,0.014985014985014986
25.0,0.3,0.02,0.2,1.3,15.0,0.7625376653244506,0.014985014985014986
30.0,0.3,0.04,0.2,1.0,15.0,0.7625819343996522,0.014985014985014986
25.0,0.3,0.02,0.2,1.0,15.0,0.762503520111972,0.014985014985014986
35.0,0.3,0.02,0.0,1.0,15.0,0.7624316358800617,0.014985014985014986
25.0,0.3,0.02,0.2,0.7,15.0,0.7628316430175137,0.014985014985014986
30.0,0.3,0.04,0.2,1.3,15.0,0.7618968086725444,0.014985014985014986
30.0,0.3,0.08,0.0,0.7,15.0,0.7658354784872505,0.014985014985014986
25.0,0.3,0.02,0.0,1.3,15.0,0.7624466959140871,0.014985014985014986
30.0,0.3,0.04,0.5,0.7,15.0,0.7687636950697719,0.014985014985014986
25.0,0.3,0.02,0.0,1.0,15.0,0.7624466959140871,0.014985014985014986
30.0,0.3,0.04,0.5,1.3,15.0,0.7631225233330241,0.014985014985014986
30.0,0.3,0.08,0.0,1.0,15.0,0.7658354784872505,0.014985014985014986
25.0,0.3,0.04,0.0,1.0,15.0,0.7621601860013661,0.014985014985014986
